Date,Open,High,Low,Close,Adj Close,Volume
04-01-00,16.23,16.23,15.5676,15.678,13.354177,1525246
05-01-00,15.5676,15.678,15.4572,15.5676,13.26014,1875618
06-01-00,15.5676,16.3405,15.5676,16.3405,13.918479,3321320
07-01-00,17.4445,17.4445,17.4445,17.4445,14.858842,3797365
10-01-00,18.659,18.659,18.659,18.659,15.89333,2676183
11-01-00,19.873501,19.873501,18.659,19.4319,16.551664,10062311
12-01-00,19.4319,19.873501,18.7694,19.321501,16.45763,4226475
13-01-00,19.542299,19.542299,18.879801,19.2111,16.363592,2348238
14-01-00,19.2111,19.321501,18.2174,18.879801,16.081398,2040238
17-01-00,18.2174,19.321501,18.107,18.9902,16.175436,2489846
18-01-00,19.2111,19.2111,18.548599,18.659,15.89333,1131688
19-01-00,18.327801,18.659,18.327801,18.548599,15.79929,1138078
20-01-00,18.659,18.9902,18.4382,18.7694,15.987362,2493755
21-01-00,18.7694,18.9902,18.7694,18.879801,16.081398,1945791
24-01-00,18.9902,19.1007,18.659,18.9902,16.175436,2409882
25-01-00,18.9902,18.9902,18.659,18.879801,16.081398,1652357
26-01-00,18.9902,20.094299,18.9902,20.094299,17.115885,6964973
27-01-00,20.094299,20.9776,20.094299,20.2047,17.209923,7191170
28-01-00,19.873501,20.2047,19.4319,19.542299,16.645702,2649588
31-01-00,19.7631,19.873501,19.542299,19.7631,16.833775,1604044
01-02-00,19.9839,19.9839,19.542299,19.7631,16.833775,1902054
02-02-00,19.7631,19.7631,19.7631,19.7631,16.833775,0
03-02-00,19.7631,19.7631,19.7631,19.7631,16.833775,0
04-02-00,19.7631,19.7631,19.7631,19.7631,16.833775,0
07-02-00,19.7631,19.7631,19.7631,19.7631,16.833775,0
08-02-00,19.7631,19.7631,19.7631,19.7631,16.833775,0
09-02-00,19.9839,20.2047,19.4319,19.6527,16.739742,2019773
10-02-00,19.542299,20.4256,19.542299,20.4256,17.398079,4299406
11-02-00,20.9776,20.9776,20.094299,20.4256,17.398079,4023073
14-02-00,20.7568,20.867201,19.873501,19.9839,17.021847,2632288
15-02-00,19.873501,19.873501,19.321501,19.321501,16.45763,1721901
16-02-00,19.321501,19.6527,19.321501,19.4319,16.551664,1352475
17-02-00,19.7631,20.3151,19.6527,20.094299,17.115885,3225556
